stop_id,stop_name,stop_lat,stop_lon
stop_0,Stop 0,45.49893960617718,-73.6274330035244
stop_1,Stop 1,45.50254912993787,-73.6239128306126
stop_2,Stop 2,45.506038116278816,-73.62082194708027
stop_3,Stop 3,45.509947930225415,-73.61747348992026
stop_4,Stop 4,45.511752368142744,-73.61584219027819
stop_5,Stop 5,45.51343645800506,-73.6123220173664
stop_6,Stop 6,45.51463934848184,-73.6083725550751
stop_7,Stop 7,45.51590235581074,-73.60330694039715
stop_8,Stop 8,45.516263209841064,-73.59678174182892
stop_9,Stop 9,45.52119464967405,-73.59266056378583
