shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
new_bus,45.49893960617718,-73.6274330035244,0
new_bus,45.50254912993787,-73.6239128306126,1
new_bus,45.506038116278816,-73.62082194708027,2
new_bus,45.509947930225415,-73.61747348992026,3
new_bus,45.511752368142744,-73.61584219027819,4
new_bus,45.51343645800506,-73.6123220173664,5
new_bus,45.51463934848184,-73.6083725550751,6
new_bus,45.51590235581074,-73.60330694039715,7
new_bus,45.516263209841064,-73.59678174182892,8
new_bus,45.52119464967405,-73.59266056378583,9
